3.438562952446400089e+01,3.334199522527472226e+01,3.030446980578966887e+01,2.557563248350742668e+01,2.339917162634704795e+01,2.012095802455562321e+01
2.267411076923077218e+01,2.197845452546720679e+01,2.180146761957119139e+01,2.164136392248489216e+01,2.000048083351659756e+01,1.872531987355689864e+01
2.212216363736264668e+01,2.081979701355807322e+01,2.000567593183068027e+01,1.729352553600879006e+01,1.562042715777900526e+01,1.546342347701781250e+01
2.169081274725275321e+01,1.996692915063222884e+01,1.738945632832539090e+01,1.528582482296020295e+01,1.527543304013193648e+01,1.474760245556167071e+01
2.090696804945055831e+01,1.927351440351842271e+01,1.664126923781604717e+01,1.462149523914239069e+01,1.449708181051860834e+01,1.398953873433033124e+01
2.059764027472527204e+01,1.630814032435404926e+01,1.146578982957668913e+01,1.134015852314474948e+01,1.090800202331207913e+01,1.056157317894448333e+01
1.224810970231532359e+01,1.221248397577092604e+01,1.096773769287289113e+01,9.649533711703773164e+00,9.336230366492149102e+00,7.988524880602487777e+00
1.138864977973568315e+01,9.929500000000002657e+00,9.823090912422138388e+00,9.258613371453705554e+00,9.133196335078530126e+00,6.590452149155023420e+00
1.105750000000000810e+01,9.513100000000008549e+00,8.648609380725535090e+00,8.192091690544412330e+00,7.616100000000002979e+00,5.719099999999999184e+00
1.046160000000000423e+01,8.637086311159979601e+00,8.564600000000000435e+00,6.667599999999995752e+00,5.905371083012656008e+00,5.000000000000004441e+00
