5.860977267982455885e+01,6.105568914657057178e+01,6.448615825187540906e+01,6.574712862635530541e+01,6.817422015399556301e+01,7.194135447389558635e+01
6.072922012758620269e+01,6.450391967013889882e+01,6.656442974999998796e+01,6.849371385954994196e+01,7.081217094114440158e+01,7.724196999630441951e+01
6.168105461965516412e+01,6.525305917420212154e+01,6.957351800291911559e+01,7.059559391740890533e+01,7.316061785240964355e+01,7.727204938776360166e+01
6.253290913706896248e+01,6.592804106808509346e+01,7.034780151388888214e+01,7.418615184096385917e+01,7.530832293604328243e+01,8.053312648940783447e+01
6.365050363965516311e+01,6.811002829646017176e+01,7.095732955653934937e+01,7.488646073074362164e+01,7.603028649849397880e+01,8.145320397121315636e+01
6.529798931683168917e+01,7.114769498404255899e+01,7.923737596959459495e+01,8.049170763678064588e+01,8.175811883606557728e+01,8.690265503056767216e+01
7.526115775862068347e+01,7.809257424916943080e+01,8.097413357335069861e+01,8.209653815635938656e+01,8.431696130788311905e+01,9.017259486110091871e+01
7.548540098764044615e+01,7.926457871832006674e+01,8.196415500000000520e+01,8.313852123460027599e+01,8.450054297502791201e+01,9.154154942159384234e+01
7.620106231625834425e+01,8.043140941558441170e+01,8.234307900000000302e+01,8.446398576211456088e+01,8.591702700000000448e+01,9.239528199999999458e+01
7.700302399999999636e+01,8.078619000000000483e+01,8.320621400000000278e+01,8.586580800000001545e+01,8.737076972477065340e+01,9.309999999999999432e+01
